Altium Designer Pick and Place Locations
C:\Users\Joey\Desktop\Swarm2020\Misaka-PCB\Misaka-v1.0\Project Outputs for Misaka-v1.0\Pick Place for Misaka-v1.0.csv

========================================================================================================================
File Design Information:

Date:       10/02/20
Time:       20:55
Revision:   5783d45bf307b1f2ddfe099b5e66b33023c51368
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C40","EEVFK1J221Q","TopLayer","PNSC-FK-V-H13_V","26.9000","11.1250","0","Aluminum Electrolytic Capacitor, 220 uF, +/- 20%, 63 V, 2-Pin SMD (Size Code H13), -55 to 105 degC, RoHS, Tape and Reel"
"C39","10uF (106) 10% 10V","TopLayer","0603_C","111.3790","151.8410","180","贴片电容"
"C38","10uF (106) 10% 10V","TopLayer","0603_C","78.3590","152.3490","360","贴片电容"
"C37","100nF (104) 10% 50V","TopLayer","0603_C","106.6800","151.8410","360","贴片电容"
"C36","100nF (104) 10% 50V","TopLayer","0603_C","73.2790","152.4760","360","贴片电容"
"C35","1uF (105) 10% 50V","TopLayer","0603_C","69.7370","62.5600","180","贴片电容"
"C34","100nF (104) 10% 50V","TopLayer","0603_C","65.2760","62.4330","180","贴片电容"
"C33","4.7uF","TopLayer","0603_C","75.6980","62.5600","180","贴片电容"
"C32","100nF (104) 10% 50V","TopLayer","0603_C","94.6150","39.0650","360","贴片电容"
"C31","10uF (106) 10% 10V","TopLayer","0603_C","101.3460","39.0650","360","贴片电容"
"C30","100nF (104) 10% 50V","TopLayer","0603_C","88.5250","47.5740","180","贴片电容"
"C29","100nF (104) 10% 50V","TopLayer","0603_C","101.3540","34.2390","360","贴片电容"
"C28","100nF (104) 10% 50V","TopLayer","0603_C","88.5250","62.5600","360","贴片电容"
"C27","100nF (104) 10% 50V","TopLayer","0603_C","111.1250","185.3690","360","贴片电容"
"C26","100nF (104) 10% 50V","TopLayer","0603_C","102.8542","185.3690","360","贴片电容"
"C25","100nF (104) 10% 50V","TopLayer","0603_C","94.5833","185.3690","360","贴片电容"
"C24","100nF (104) 10% 50V","TopLayer","0603_C","86.3124","185.3690","360","贴片电容"
"C23","100nF (104) 10% 50V","TopLayer","0603_C","78.0415","185.3690","360","贴片电容"
"C22","100nF (104) 10% 50V","TopLayer","0603_C","69.7707","185.3690","360","贴片电容"
"C21","100nF (104) 10% 50V","TopLayer","0603_C","61.4998","185.3690","0","贴片电容"
"C20","100nF (104) 10% 50V","TopLayer","0603_C","53.2289","185.3690","360","贴片电容"
"C19","100nF (104) 10% 50V","TopLayer","0603_C","44.9580","185.3690","0","贴片电容"
"C18","100nF","TopLayer","0603_C","49.9110","80.9150","0","贴片电容"
"C17","22pF (220) 5% 50V","TopLayer","0603_C","49.0220","125.2980","360","贴片电容"
"C16","22pF (220) 5% 50V","TopLayer","0603_C","51.0460","105.1050","180","贴片电容"
"C15","22pF (220) 5% 50V","TopLayer","0603_C","55.6260","100.2440","180","贴片电容"
"C14","100nF","TopLayer","0603_C","55.6206","105.1050","180","贴片电容"
"C13","100nF","TopLayer","0603_C","8.5090","122.2500","180","贴片电容"
"C12","100nF","TopLayer","0603_C","85.1090","93.7740","0","贴片电容"
"C11","100nF","TopLayer","0603_C","85.0900","89.1030","0","贴片电容"
"C10","1uF (105) 10% 50V","TopLayer","0603_C","81.1530","126.9490","180","贴片电容"
"C9","100nF","TopLayer","0603_C","13.4620","136.4740","0","贴片电容"
"C8","100nF","TopLayer","0603_C","13.4620","131.7432","0","贴片电容"
"C7","100nF","TopLayer","0603_C","13.4620","127.0125","0","贴片电容"
"C6","100nF","TopLayer","0603_C","13.4620","122.2818","0","贴片电容"
"C5","1uF (105) 10% 50V","TopLayer","0603_C","60.1953","105.1050","0","贴片电容"
"C4","EEEFP1V470AP","TopLayer","PNSC-FP-V-D_V","99.0600","112.0900","270","Aluminum Electrolytic Capacitor, 47 uF, +/- 20%, 35 V, 2-Pin SMD (Size Code D), -55 to 105 degC, RoHS, Tape and Reel"
"C3","EEEFP1V470AP","TopLayer","PNSC-FP-V-D_V","99.0600","124.6630","90","Aluminum Electrolytic Capacitor, 47 uF, +/- 20%, 35 V, 2-Pin SMD (Size Code D), -55 to 105 degC, RoHS, Tape and Reel"
"C2","100nF","TopLayer","0603_C","88.6460","126.5680","180","贴片电容"
"C1","100nF","TopLayer","0603_C","108.7120","86.4360","270","贴片电容"
